Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID,IsSenior,IsJunior,IsSophomore,IsBusinessAdmin,NumericalGrade
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 2,1621.0,1,0,0,1,4.0
C,C,GRD,Public Affairs - Political Science/Business (Minor),Junior,Fall 2021 2,1351.0,0,1,0,0,2.0
C,C,GRD,College of Arts and Sciences - Business Economics,Senior,Fall 2021 2,1168.0,1,0,0,0,2.0
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,Fall 2021 2,1393.0,1,0,0,0,4.0
A-,A-,GRD,Business Administration - Accounting/Business Administration/Communication (Minor),Senior,Fall 2021 2,1030.0,1,0,0,1,3.7
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,Fall 2021 2,1086.0,0,1,0,1,3.7
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,Fall 2021 2,1846.0,1,0,0,0,4.0
A-,A-,GRD,College of Arts and Sciences - English/Business (Minor),Junior,Fall 2021 2,1938.0,0,1,0,0,3.7
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1577.0,0,1,0,1,4.0
B+,B+,GRD,College of Arts and Sciences - Business Economics/Film Studies (Minor),Junior,Fall 2021 2,1243.0,0,1,0,0,3.3
A,A,GRD,Business Administration - Business Administration/Art (Minor),Senior,Fall 2021 2,1866.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,Fall 2021 2,1246.0,1,0,0,1,4.0
B,B,GRD,Business Administration - Business Administration,Senior,Fall 2021 2,1923.0,1,0,0,1,3.0
D,D,GRD,College of Arts and Sciences - Business Economics/Criminal Justice (Minor),Junior,Fall 2021 2,1445.0,0,1,0,0,1.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 2,1895.0,1,0,0,1,4.0
B,B,GRD,Business Administration - Business Administration/Statistics (Minor),Junior,Fall 2021 2,1111.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,Fall 2021 2,1845.0,1,0,0,1,4.0
C,C,GRD,Business Administration - Accounting/Business (Minor),Junior,Fall 2021 2,1152.0,0,1,0,1,2.0
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor)/Sociology (Minor),Junior,Fall 2021 2,1106.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,Fall 2021 2,2063.0,0,1,0,1,4.0
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,Fall 2021 2,1784.0,0,1,0,0,2.3
C,C,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1120.0,0,1,0,1,2.0
B+,B+,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1680.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Business Administration/Urban Std & Planning (Minor),Junior,Fall 2021 2,1575.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,Fall 2021 2,1305.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Economics/Financial Market Regul (Minor)/Public,Junior,Fall 2021 2,1847.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1035.0,0,1,0,1,3.7
C,C,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1504.0,0,1,0,1,2.0
B-,B-,GRD,Business Administration - Business Administration,Senior,Fall 2021 2,1290.0,1,0,0,1,2.7
A-,A-,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1882.0,0,1,0,1,3.7
B+,B+,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1600.0,0,1,0,1,3.3
B+,B+,GRD,"Business Administration - Business Administration/EmergPrep,HomelandSec&Cybsec",Junior,Fall 2021 2,1818.0,0,1,0,1,3.3
B,B,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1631.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1311.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/Communication,Senior,Fall 2021 2,1569.0,1,0,0,1,3.7
B-,B-,GRD,Business Administration - Business Administration,Senior,Fall 2021 2,1239.0,1,0,0,1,2.7
B-,B-,GRD,Business Administration - Business Administration/Political Science (Minor),Junior,Fall 2021 2,2001.0,0,1,0,1,2.7
A,A,GRD,Business Administration - Business Administration/Sociology,Senior,Fall 2021 2,1843.0,1,0,0,1,4.0
A,A,GRD,Intended - Business Admin (intended),Junior,Fall 2021 2,1857.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Digital Forensics,Junior,Fall 2021 2,1044.0,0,1,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,Fall 2021 2,1224.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,Fall 2021 2,1552.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Accounting/Business Administration,Junior,Fall 2021 2,2030.0,0,1,0,1,3.7
B,B,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,Fall 2021 2,1820.0,1,0,0,0,3.0
A,A,GRD,Business Administration - Business Administration,Senior,Fall 2021 2,1410.0,1,0,0,1,4.0
C+,C+,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1693.0,0,1,0,1,2.3
B,B,GRD,Business Administration - Business Administration/Psychology/Legal Studies (Minor),Junior,Fall 2021 2,1307.0,0,1,0,1,3.0
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 2,1496.0,1,0,0,1,3.7
D+,D+,GRD,Business Administration - Business Economics/Business Administration,Junior,Fall 2021 2,2036.0,0,1,0,1,1.3
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1052.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Business Administration/Computer Science,Junior,Fall 2021 2,1981.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,Fall 2021 2,2075.0,0,1,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,Fall 2021 2,1678.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration/English (Minor),Junior,Fall 2021 2,1544.0,0,1,0,1,4.0
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Junior,Fall 2021 2,1699.0,0,1,0,0,4.0
B-,B-,GRD,College of Arts and Sciences - Economics/Business (Minor),Senior,Fall 2021 2,1819.0,1,0,0,0,2.7
A,A,GRD,Criminal Justice - Criminal Justice/Business (Minor),Junior,Fall 2021 2,1832.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1712.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1402.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,Fall 2021 2,1979.0,0,1,0,1,3.7
C,C,GRD,Business Administration - Business Administration,Senior,Fall 2021 2,1551.0,1,0,0,1,2.0
C+,C+,GRD,College of Arts and Sciences - Business Economics/History (Minor),Senior,Fall 2021 2,1773.0,1,0,0,0,2.3
D-,D-,GRD,Business Administration - Business Administration,Senior,Fall 2021 2,1935.0,1,0,0,1,0.7
A,A,GRD,Business Administration - Business Administration,Senior,Fall 2021 2,1222.0,1,0,0,1,4.0
