Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID,IsSenior,IsJunior,IsSophomore,IsBusinessAdmin,NumericalGrade
A-,A-,GRD,College of Arts and Sciences - English/Business (Minor),Junior,2021 - Fall - session 2,1938.0,0,1,0,0,3.7
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1577.0,0,1,0,1,4.0
B+,B+,GRD,College of Arts and Sciences - Business Economics/Film Studies (Minor),Junior,2021 - Fall - session 2,1243.0,0,1,0,0,3.3
A,A,GRD,Business Administration - Business Administration/Art (Minor),Senior,2021 - Fall - session 2,1866.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2021 - Fall - session 2,1246.0,1,0,0,1,4.0
B,B,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1923.0,1,0,0,1,3.0
D,D,GRD,College of Arts and Sciences - Business Economics/Criminal Justice (Minor),Junior,2021 - Fall - session 2,1445.0,0,1,0,0,1.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1895.0,1,0,0,1,4.0
B,B,GRD,Business Administration - Business Administration/Statistics (Minor),Junior,2021 - Fall - session 2,1111.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2021 - Fall - session 2,1845.0,1,0,0,1,4.0
C,C,GRD,Business Administration - Accounting/Business (Minor),Junior,2021 - Fall - session 2,1152.0,0,1,0,1,2.0
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor)/Sociology (Minor),Junior,2021 - Fall - session 2,1106.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2021 - Fall - session 2,2063.0,0,1,0,1,4.0
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,1784.0,0,1,0,0,2.3
C,C,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1120.0,0,1,0,1,2.0
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1680.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Business Administration/Urban Std & Planning (Minor),Junior,2021 - Fall - session 2,1575.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2021 - Fall - session 2,1305.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Economics/Financial Market Regul (Minor)/Public,Junior,2021 - Fall - session 2,1847.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1035.0,0,1,0,1,3.7
C,C,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1504.0,0,1,0,1,2.0
B-,B-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1290.0,1,0,0,1,2.7
A-,A-,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1882.0,0,1,0,1,3.7
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1600.0,0,1,0,1,3.3
B+,B+,GRD,"Business Administration - Business Administration/EmergPrep,HomelandSec&Cybsec",Junior,2021 - Fall - session 2,1818.0,0,1,0,1,3.3
B,B,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1631.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1311.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/Communication,Senior,2021 - Fall - session 2,1569.0,1,0,0,1,3.7
B-,B-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1239.0,1,0,0,1,2.7
B-,B-,GRD,Business Administration - Business Administration/Political Science (Minor),Junior,2021 - Fall - session 2,2001.0,0,1,0,1,2.7
A,A,GRD,Business Administration - Business Administration/Sociology,Senior,2021 - Fall - session 2,1843.0,1,0,0,1,4.0
A,A,GRD,Intended - Business Admin (intended),Junior,2021 - Fall - session 2,1857.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Digital Forensics,Junior,2021 - Fall - session 2,1044.0,0,1,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,1224.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2021 - Fall - session 2,1552.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Accounting/Business Administration,Junior,2021 - Fall - session 2,2030.0,0,1,0,1,3.7
B,B,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,2021 - Fall - session 2,1820.0,1,0,0,0,3.0
A,A,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1410.0,1,0,0,1,4.0
C+,C+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1693.0,0,1,0,1,2.3
B,B,GRD,Business Administration - Business Administration/Psychology/Legal Studies (Minor),Junior,2021 - Fall - session 2,1307.0,0,1,0,1,3.0
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1496.0,1,0,0,1,3.7
D+,D+,GRD,Business Administration - Business Economics/Business Administration,Junior,2021 - Fall - session 2,2036.0,0,1,0,1,1.3
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1052.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Business Administration/Computer Science,Junior,2021 - Fall - session 2,1981.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2021 - Fall - session 2,2075.0,0,1,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 2,1678.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration/English (Minor),Junior,2021 - Fall - session 2,1544.0,0,1,0,1,4.0
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Junior,2021 - Fall - session 2,1699.0,0,1,0,0,4.0
B-,B-,GRD,College of Arts and Sciences - Economics/Business (Minor),Senior,2021 - Fall - session 2,1819.0,1,0,0,0,2.7
A,A,GRD,Criminal Justice - Criminal Justice/Business (Minor),Junior,2021 - Fall - session 2,1832.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1712.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1402.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2021 - Fall - session 2,1979.0,0,1,0,1,3.7
C,C,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1551.0,1,0,0,1,2.0
C+,C+,GRD,College of Arts and Sciences - Business Economics/History (Minor),Senior,2021 - Fall - session 2,1773.0,1,0,0,0,2.3
D-,D-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1935.0,1,0,0,1,0.7
A,A,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1222.0,1,0,0,1,4.0
A,A,GRD,Intended - Business Admin (intended),Junior,2021 - Fall - session 2,2066.0,0,1,0,0,4.0
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,1122.0,0,1,0,0,2.3
D+,D+,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 2,1046.0,1,0,0,0,1.3
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1750.0,1,0,0,1,3.7
B-,B-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1697.0,1,0,0,1,2.7
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2021 - Fall - session 2,1344.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 2,1587.0,1,0,0,0,4.0
B,B,GRD,Business Administration - Interdis Financial Mkt Reg/Business (Minor),Junior,2021 - Fall - session 2,1001.0,0,1,0,1,3.0
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,2021 - Fall - session 2,1479.0,0,1,0,0,3.3
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1507.0,0,1,0,1,3.3
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,1264.0,0,1,0,0,2.3
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1862.0,0,1,0,1,3.3
B+,B+,GRD,Intended - Business Economics (intended)/Business Admin (intended),Junior,2021 - Fall - session 2,1886.0,0,1,0,0,3.3
A,A,GRD,Business Administration - Business Administration/Economics (Minor)/Statistics (Minor),Junior,2021 - Fall - session 2,1253.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1906.0,1,0,0,1,3.3
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1422.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1435.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1964.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Interdis Financial Mkt Reg/Business (Minor),Junior,2021 - Fall - session 1,1001.0,0,1,0,1,3.0
C+,C+,GRD,Intended - Business Economics (intended),Junior,2021 - Fall - session 1,1018.0,0,1,0,0,2.3
A,A,GRD,Business Administration - Accounting/Business (Minor)/English (Minor)/History (Minor),Senior,2021 - Fall - session 1,1022.0,1,0,0,1,4.0
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1028.0,1,0,0,1,3.7
A-,A-,GRD,Business Administration - Accounting/Business Administration/Communication (Minor),Senior,2021 - Fall - session 1,1030.0,1,0,0,1,3.7
A-,A-,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1035.0,0,1,0,1,3.7
B,B,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,2021 - Fall - session 1,1036.0,1,0,0,0,3.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2021 - Fall - session 1,1041.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Digital Forensics,Junior,2021 - Fall - session 1,1044.0,0,1,0,1,4.0
D+,D+,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1046.0,1,0,0,0,1.3
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1052.0,0,1,0,1,4.0
A,A,GRD,College of Arts and Sciences - Quantitative Eco&Data Analysis/Business (Minor)/Psychology (Minor),Junior,2021 - Fall - session 1,1079.0,0,1,0,0,4.0
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2021 - Fall - session 1,1086.0,0,1,0,1,3.7
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor)/Sociology (Minor),Junior,2021 - Fall - session 1,1106.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Business Administration/Statistics (Minor),Junior,2021 - Fall - session 1,1111.0,0,1,0,1,3.0
B,B,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1116.0,1,0,0,1,3.0
C,C,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1120.0,0,1,0,1,2.0
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,1122.0,0,1,0,0,2.3
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,2021 - Fall - session 1,1134.0,0,1,0,0,3.3
C,C,GRD,Business Administration - Accounting/Business (Minor),Junior,2021 - Fall - session 1,1152.0,0,1,0,1,2.0
B-,B-,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2021 - Fall - session 1,1154.0,1,0,0,1,2.7
A,A,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1165.0,1,0,0,1,4.0
C,C,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1168.0,1,0,0,0,2.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1211.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1222.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,1224.0,0,1,0,0,4.0
B-,B-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1239.0,1,0,0,1,2.7
B+,B+,GRD,Business Administration - Business Administration/Law & Philosophy (Minor),Junior,2021 - Fall - session 1,1241.0,0,1,0,1,3.3
B+,B+,GRD,College of Arts and Sciences - Business Economics/Film Studies (Minor),Junior,2021 - Fall - session 1,1243.0,0,1,0,0,3.3
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2021 - Fall - session 1,1246.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Economics (Minor)/Statistics (Minor),Junior,2021 - Fall - session 1,1253.0,0,1,0,1,4.0
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,1264.0,0,1,0,0,2.3
B-,B-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1290.0,1,0,0,1,2.7
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2021 - Fall - session 1,1305.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Business Administration/Psychology/Legal Studies (Minor),Junior,2021 - Fall - session 1,1307.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1311.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2021 - Fall - session 1,1312.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration/Communication,Senior,2021 - Fall - session 1,1319.0,1,0,0,1,3.3
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2021 - Fall - session 1,1344.0,1,0,0,1,4.0
C,C,GRD,Public Affairs - Political Science/Business (Minor),Junior,2021 - Fall - session 1,1351.0,0,1,0,0,2.0
C+,C+,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1356.0,1,0,0,0,2.3
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1377.0,1,0,0,1,4.0
B,B,GRD,College of Arts and Sciences - Business Economics/Sociology (Minor),Junior,2021 - Fall - session 1,1383.0,0,1,0,0,3.0
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,2021 - Fall - session 1,1393.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1402.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1410.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1422.0,0,1,0,1,4.0
B+,B+,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1431.0,1,0,0,0,3.3
B,B,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1435.0,0,1,0,1,3.0
D,D,GRD,College of Arts and Sciences - Business Economics/Criminal Justice (Minor),Junior,2021 - Fall - session 1,1445.0,0,1,0,0,1.0
C+,C+,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1454.0,1,0,0,0,2.3
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,2021 - Fall - session 1,1479.0,0,1,0,0,3.3
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1496.0,1,0,0,1,3.7
B-,B-,GRD,"College of Arts and Sciences - Business Economics/EmerPrep,HomeldSec&Cybsec(Min)",Senior,2021 - Fall - session 1,1503.0,1,0,0,0,2.7
C,C,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1504.0,0,1,0,1,2.0
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1507.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Business Administration/History (Minor)/Political Science (Minor),Senior,2021 - Fall - session 1,1525.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor)/Psychology (Minor),Senior,2021 - Fall - session 1,1529.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/English (Minor),Junior,2021 - Fall - session 1,1544.0,0,1,0,1,4.0
C,C,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1551.0,1,0,0,1,2.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2021 - Fall - session 1,1552.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/Communication,Senior,2021 - Fall - session 1,1569.0,1,0,0,1,3.7
A,A,GRD,Business Administration - Business Administration/Urban Std & Planning (Minor),Junior,2021 - Fall - session 1,1575.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1577.0,0,1,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1587.0,1,0,0,0,4.0
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1593.0,1,0,0,1,3.3
C+,C+,GRD,Business Administration - Accounting/Business (Minor)/Internat Studies (Minor),Senior,2021 - Fall - session 1,1594.0,1,0,0,1,2.3
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1600.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1621.0,1,0,0,1,4.0
B,B,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1631.0,0,1,0,1,3.0
B-,B-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1641.0,1,0,0,1,2.7
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1678.0,1,0,0,0,4.0
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1680.0,0,1,0,1,3.3
B+,B+,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2021 - Fall - session 1,1683.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1689.0,0,1,0,1,4.0
C+,C+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1693.0,0,1,0,1,2.3
B-,B-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1697.0,1,0,0,1,2.7
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Junior,2021 - Fall - session 1,1699.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1712.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration/Economics (Minor),Senior,2021 - Fall - session 1,1745.0,1,0,0,1,3.3
C-,C-,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci/Economics (Minor),Junior,2021 - Fall - session 1,1748.0,0,1,0,0,1.7
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1750.0,1,0,0,1,3.7
C+,C+,GRD,College of Arts and Sciences - Business Economics/History (Minor),Senior,2021 - Fall - session 1,1773.0,1,0,0,0,2.3
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,1784.0,0,1,0,0,2.3
B+,B+,GRD,"Business Administration - Business Administration/EmergPrep,HomelandSec&Cybsec",Junior,2021 - Fall - session 1,1818.0,0,1,0,1,3.3
B-,B-,GRD,College of Arts and Sciences - Economics/Business (Minor),Senior,2021 - Fall - session 1,1819.0,1,0,0,0,2.7
B,B,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,2021 - Fall - session 1,1820.0,1,0,0,0,3.0
A,A,GRD,Criminal Justice - Criminal Justice/Business (Minor),Junior,2021 - Fall - session 1,1832.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Sociology,Senior,2021 - Fall - session 1,1843.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2021 - Fall - session 1,1845.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1846.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Economics/Financial Market Regul (Minor)/Public,Junior,2021 - Fall - session 1,1847.0,0,1,0,1,4.0
A,A,GRD,Intended - Business Admin (intended),Junior,2021 - Fall - session 1,1857.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2021 - Fall - session 1,1859.0,1,0,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1862.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Business Administration/Art (Minor),Senior,2021 - Fall - session 1,1866.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor)/Law & Philosophy (Minor),Senior,2021 - Fall - session 1,1872.0,1,0,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1882.0,0,1,0,1,3.7
B+,B+,GRD,Intended - Business Economics (intended)/Business Admin (intended),Junior,2021 - Fall - session 1,1886.0,0,1,0,0,3.3
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1895.0,1,0,0,1,4.0
C-,C-,GRD,College of Arts and Sciences - Business Economics/Creative Writing (Minor),Junior,2021 - Fall - session 1,1896.0,0,1,0,0,1.7
B+,B+,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1906.0,1,0,0,1,3.3
C-,C-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1912.0,1,0,0,1,1.7
B,B,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1923.0,1,0,0,1,3.0
D-,D-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1935.0,1,0,0,1,0.7
A-,A-,GRD,College of Arts and Sciences - English/Business (Minor),Junior,2021 - Fall - session 1,1938.0,0,1,0,0,3.7
