StudentID,AvgSecsOnCapstoneTask,AvgCapstoneScore,AvgNumAttemptsCapstone,Session_x,AvgNumLogins,NumSubmissions,TotalCourseTime,TotalLogins,LastLogin,EnrollmentDate,Instructor,Session_y,TotalTimeSeconds,AvgSessionSeconds,Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,IsSenior,IsJunior,IsSophomore,IsBusinessAdmin,NumericalGrade
1108.0,17.5,0.88,1.25,Spring 2022,45,11,04:04:57,40,4/25/2022 8:05:46 PM,1/27/2022 6:09:59 PM,"Liu, Mai; Dvir, Nim",Spring 2022,14697,367,C-,C-,GRD,Business Administration - Business Administration,Junior,Spring 2022,0.0,1.0,0.0,1.0,1.7
1109.0,15.0,0.79,2.0,Spring 2022,45,11,16:09:41,30,4/27/2022 7:27:25 PM,1/27/2022 6:07:14 PM,"Liu, Mai; Dvir, Nim",Spring 2022,58181,1939,B-,B-,GRD,Business Administration - Business Administration,Junior,Spring 2022,0.0,1.0,0.0,1.0,2.7
1113.0,16.12,0.92,1.12,Spring 2022,45,16,17:59:04,46,4/24/2022 2:20:21 PM,1/27/2022 6:10:11 PM,"Liu, Mai; Dvir, Nim",Spring 2022,64744,1407,A,A,GRD,Business Administration - Business Administration/Computer Science (Minor),Junior,Spring 2022,0.0,1.0,0.0,1.0,4.0
1124.0,20.88,0.9,2.25,Spring 2022,45,26,22:05:55,75,4/24/2022 7:32:49 PM,1/27/2022 6:06:07 PM,"Liu, Mai; Dvir, Nim",Spring 2022,79555,1061,A,A,GRD,Business Administration - Accounting/Business Administration,Junior,Spring 2022,0.0,1.0,0.0,1.0,4.0
1129.0,16.71,0.69,1.0,Spring 2022,45,12,09:03:37,33,5/2/2022 1:22:49 PM,2/1/2022 8:41:31 PM,"Liu, Mai; Dvir, Nim",Spring 2022,32617,988,D-,D-,GRD,Business Administration - Business Administration,Senior,Spring 2022,1.0,0.0,0.0,1.0,0.7
1130.0,15.8,0.56,1.0,Spring 2022,45,13,08:52:09,89,5/3/2022 6:42:55 PM,1/27/2022 4:31:07 PM,"Liu, Mai; Dvir, Nim",Spring 2022,31929,359,B,B,GRD,"Business Administration - Business Administration/EmergPrep,HomelandSec&Cybsec/Psychology (Minor)",Senior,Spring 2022,1.0,0.0,0.0,1.0,3.0
1131.0,23.12,0.82,1.0,Spring 2022,45,15,22:14:15,32,4/25/2022 11:12:33 AM,1/27/2022 6:10:10 PM,"Liu, Mai; Dvir, Nim",Spring 2022,80055,2502,A,A,GRD,Business Administration - Business Administration/Public Policy (Minor)/Political Science (Minor),Senior,Spring 2022,1.0,0.0,0.0,1.0,4.0
1132.0,15.33,0.95,1.0,Spring 2022,45,16,09:21:34,61,4/27/2022 4:18:47 PM,1/27/2022 6:06:13 PM,"Liu, Mai; Dvir, Nim",Spring 2022,33694,552,B,B,GRD,Business Administration - Business Administration,Junior,Spring 2022,0.0,1.0,0.0,1.0,3.0
1137.0,17.25,0.91,1.12,Spring 2022,45,16,13:04:52,29,4/29/2022 9:24:01 PM,2/2/2022 9:03:52 PM,"Liu, Mai; Dvir, Nim",Spring 2022,47092,1624,A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,0.0,1.0,0.0,1.0,4.0
1142.0,15.25,0.94,1.0,Spring 2022,45,15,21:35:11,24,4/22/2022 11:44:55 AM,1/27/2022 6:05:42 PM,"Liu, Mai; Dvir, Nim",Spring 2022,77711,3238,A,A,GRD,Business Administration - Business Administration/Political Science (Minor),Senior,Spring 2022,1.0,0.0,0.0,1.0,4.0
1148.0,16.38,0.95,1.12,Spring 2022,45,16,17:22:29,49,4/20/2022 9:48:50 PM,2/1/2022 2:46:45 PM,"Liu, Mai; Dvir, Nim",Spring 2022,62549,1277,A,A,GRD,Business Administration - Business Administration/Creative Writing (Minor),Junior,Spring 2022,0.0,1.0,0.0,1.0,4.0
1151.0,16.62,0.96,1.38,Spring 2022,45,18,21:31:46,70,4/25/2022 4:47:07 PM,2/6/2022 8:18:52 PM,"Liu, Mai; Dvir, Nim",Spring 2022,77506,1107,A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,0.0,1.0,0.0,1.0,4.0
1153.0,21.78,0.91,1.33,Spring 2022,45,18,16:57:57,36,4/25/2022 7:30:56 PM,1/28/2022 3:31:02 PM,"Liu, Mai; Dvir, Nim",Spring 2022,61077,1697,A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,Spring 2022,1.0,0.0,0.0,1.0,4.0
1156.0,16.38,0.91,1.0,Spring 2022,45,15,23:50:51,28,5/2/2022 5:32:26 AM,2/7/2022 10:32:47 PM,"Liu, Mai; Dvir, Nim",Spring 2022,85851,3066,A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,0.0,1.0,0.0,1.0,4.0
1159.0,17.0,0.94,1.0,Spring 2022,45,14,15:24:39,36,4/25/2022 9:03:52 PM,2/7/2022 1:38:29 PM,"Liu, Mai; Dvir, Nim",Spring 2022,55479,1541,A,A,GRD,Business Administration - Accounting/Business Administration,Junior,Spring 2022,0.0,1.0,0.0,1.0,4.0
