StudentID,AvgSecsOnCapstoneTask,AvgCapstoneScore,AvgNumAttemptsCapstone,Session
1632.0,15.43,0.89,1.0,Spring 2022
1636.0,4103.44,0.91,1.33,Spring 2022
1640.0,15.71,0.96,2.0,Spring 2022
1642.0,23.62,0.93,1.62,Spring 2022
1644.0,16.12,0.98,1.0,Spring 2022
1645.0,31.62,0.82,1.0,Spring 2022
1649.0,17.67,0.83,1.0,Spring 2022
1652.0,16.5,0.89,1.0,Spring 2022
1658.0,16.0,0.96,1.0,Spring 2022
1660.0,15.88,0.94,1.0,Spring 2022
1665.0,15.88,0.95,1.25,Spring 2022
1673.0,16.12,0.89,1.12,Spring 2022
1675.0,16.0,0.94,1.0,Spring 2022
1691.0,16.78,0.87,1.0,Spring 2022
1701.0,13.75,0.95,1.12,Spring 2022
1707.0,19.62,0.88,1.0,Spring 2022
1708.0,17.0,0.78,1.0,Spring 2022
1709.0,17.38,0.88,1.5,Spring 2022
1721.0,17.86,0.96,1.0,Spring 2022
1724.0,16.38,0.94,1.25,Spring 2022
1725.0,8085.5,0.84,2.38,Spring 2022
1729.0,15.5,0.93,1.0,Spring 2022
1739.0,17.0,0.69,1.0,Spring 2022
1741.0,16.25,0.94,1.25,Spring 2022
1743.0,17.17,0.94,1.33,Spring 2022
1753.0,16.25,0.98,1.62,Spring 2022
1762.0,17.12,0.95,1.38,Spring 2022
1771.0,17.0,0.96,2.38,Spring 2022
1772.0,18.0,0.68,1.25,Spring 2022
1778.0,16.62,0.91,1.0,Spring 2022
1787.0,19.14,0.65,1.14,Spring 2022
1793.0,15.75,0.95,1.0,Spring 2022
1798.0,15.5,0.89,1.25,Spring 2022
1805.0,15.0,0.96,1.0,Spring 2022
1806.0,16.5,0.89,1.12,Spring 2022
1811.0,16.75,0.91,1.0,Spring 2022
1814.0,16.0,0.83,1.0,Spring 2022
1825.0,22.14,0.92,1.0,Spring 2022
1842.0,17.57,0.88,1.0,Spring 2022
1848.0,16.57,0.93,1.29,Spring 2022
1864.0,17.42,0.78,1.67,Spring 2022
1869.0,17.0,0.93,1.0,Spring 2022
1873.0,16.12,0.93,1.0,Spring 2022
1876.0,14.25,0.84,1.0,Spring 2022
1883.0,23.62,0.94,1.38,Spring 2022
1885.0,16.62,0.89,1.0,Spring 2022
1890.0,15.62,0.93,1.0,Spring 2022
1893.0,16.12,0.86,1.0,Spring 2022
1894.0,17.0,0.75,1.0,Spring 2022
1903.0,22.0,0.96,1.38,Spring 2022
1908.0,16.0,0.88,1.0,Spring 2022
1909.0,16.5,0.72,1.0,Spring 2022
1913.0,16.57,0.96,1.14,Spring 2022
1915.0,17.14,0.68,1.0,Spring 2022
1925.0,15.83,0.88,1.0,Spring 2022
1927.0,16.12,0.91,1.0,Spring 2022
1931.0,17.62,0.98,1.0,Spring 2022
1940.0,17.14,0.9,1.29,Spring 2022
1942.0,18.0,0.57,1.0,Spring 2022
1946.0,16.62,0.91,1.0,Spring 2022
1947.0,16.62,0.93,1.0,Spring 2022
1949.0,16.88,0.91,1.0,Spring 2022
1957.0,20.75,0.94,1.25,Spring 2022
1959.0,15.62,0.95,1.12,Spring 2022
1968.0,25.25,0.99,1.62,Spring 2022
1969.0,15.75,0.88,1.38,Spring 2022
1974.0,5533.75,0.94,1.12,Spring 2022
1978.0,15.75,0.94,1.38,Spring 2022
1980.0,16.6,0.87,1.4,Spring 2022
1988.0,16.5,0.92,1.0,Spring 2022
1992.0,15.38,0.97,1.38,Spring 2022
1996.0,20.71,0.85,1.0,Spring 2022
1999.0,16.14,0.88,1.0,Spring 2022
2000.0,16.0,0.94,1.38,Spring 2022
2012.0,16.12,0.83,1.0,Spring 2022
2013.0,15.5,0.97,1.25,Spring 2022
2015.0,7112.33,0.92,1.0,Spring 2022
2018.0,16.43,0.79,1.14,Spring 2022
2021.0,15.5,0.95,1.0,Spring 2022
2029.0,17.57,0.9,1.0,Spring 2022
2031.0,20.62,0.7,1.0,Spring 2022
2037.0,20.86,0.84,1.0,Spring 2022
2042.0,17.5,0.97,1.12,Spring 2022
2043.0,17.57,0.95,1.29,Spring 2022
2046.0,17.29,0.88,1.14,Spring 2022
2047.0,16.62,0.93,1.62,Spring 2022
2049.0,16.25,0.8,1.0,Spring 2022
2051.0,17.0,0.92,1.14,Spring 2022
2057.0,16.62,0.9,1.0,Spring 2022
2071.0,16.38,0.96,1.38,Spring 2022
2077.0,17.0,0.88,1.0,Spring 2022
2085.0,18.5,0.95,1.62,Spring 2022
