Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID
B+,B+,GRD,College of Arts and Sciences - Business Economics/Film Studies (Minor),Junior,2021 - Fall - session 2,1243
B,B,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,
E,E,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1297
A,A,GRD,Business Administration - Business Administration/Art (Minor),Senior,2021 - Fall - session 2,1866
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2021 - Fall - session 2,1246
B,B,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1923
D,D,GRD,College of Arts and Sciences - Business Economics/Criminal Justice (Minor),Junior,2021 - Fall - session 2,1445
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1895
B,B,GRD,Business Administration - Business Administration/Statistics (Minor),Junior,2021 - Fall - session 2,1111
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2021 - Fall - session 2,1845
C,C,GRD,Business Administration - Accounting/Business (Minor),Junior,2021 - Fall - session 2,1152
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor)/Sociology (Minor),Junior,2021 - Fall - session 2,1106
A,A,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2021 - Fall - session 2,2063
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,1784
C,C,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1120
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1680
A,A,GRD,Business Administration - Business Administration/Urban Std & Planning (Minor),Junior,2021 - Fall - session 2,1575
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2021 - Fall - session 2,1305
A,A,GRD,Business Administration - Business Administration/Economics/Financial Market Regul (Minor)/Public,Junior,2021 - Fall - session 2,1847
B,B,GRD,Business Administration - Business Administration/Urban Std & Planning (Minor),Junior,2021 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1035
C,C,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1504
B-,B-,GRD,Intended - Business Economics (intended),Junior,2021 - Fall - session 2,
B-,B-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1290
A-,A-,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1882
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1600
B+,B+,GRD,"Business Administration - Business Administration/EmergPrep,HomelandSec&Cybsec",Junior,2021 - Fall - session 2,1818
B,B,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1631
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1311
A-,A-,GRD,Business Administration - Business Administration/Communication,Senior,2021 - Fall - session 2,1569
C,C,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,
I,B-,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2021 - Fall - session 2,
B-,B-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1239
B-,B-,GRD,Business Administration - Business Administration/Political Science (Minor),Junior,2021 - Fall - session 2,2001
A,A,GRD,Business Administration - Business Administration/Sociology,Senior,2021 - Fall - session 2,1843
A,A,GRD,Intended - Business Admin (intended),Junior,2021 - Fall - session 2,1857
B+,B+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Digital Forensics,Junior,2021 - Fall - session 2,1044
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,1224
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2021 - Fall - session 2,1552
A-,A-,GRD,Business Administration - Accounting/Business Administration,Junior,2021 - Fall - session 2,2030
B,B,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,2021 - Fall - session 2,1820
A,A,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1410
C+,C+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1693
