Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID
A-,A-,GRD,College of Arts and Sciences - English/Business (Minor),Junior,2021 - Fall - session 1,1938
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,
E,E,GRD,Business Administration - Accounting,Junior,2021 - Fall - session 1,1951
B,B,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1964
B+,B+,GRD,"Emerg Prep, HomelandSec&Cybsec - Informatics/Business (Minor)",Senior,2021 - Fall - session 1,1966
A-,A-,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2021 - Fall - session 1,1979
B,B,GRD,Business Administration - Business Administration/Computer Science,Junior,2021 - Fall - session 1,1981
B-,B-,GRD,Business Administration - Business Administration/Political Science (Minor),Junior,2021 - Fall - session 1,2001
A-,A-,GRD,Business Administration - Accounting/Business Administration,Junior,2021 - Fall - session 1,2030
B,B,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,2033
D+,D+,GRD,Business Administration - Business Economics/Business Administration,Junior,2021 - Fall - session 1,2036
B,B,GRD,Business Administration - Business Administration/Computer Science/Economics (Minor),Senior,2021 - Fall - session 1,2038
B,B,GRD,Intended - Business Admin (intended),Junior,2021 - Fall - session 1,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,
A,A,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2021 - Fall - session 1,2063
A,A,GRD,Intended - Business Admin (intended),Junior,2021 - Fall - session 1,2066
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,2067
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2021 - Fall - session 1,2075
C+,C+,GRD,College of Arts and Sciences - Business Economics/Spanish (Minor),Junior,2023 - summer,1045
B+,B+,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - summer,1073
B+,B+,GRD,College of Arts and Sciences - Mathematics/Business (Minor),Senior,2023 - summer,1138
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - summer,1167
A,A,GRD,Business Administration - Business Administration,Senior,2023 - summer,1190
C+,C+,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - summer,1217
E,E,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - summer,
E,Z,ZAD,Intended - Business Economics (intended),Senior,2023 - summer,1412
D+,D+,GRD,College of Arts and Sciences - Human Biology/Business (Minor),Junior,2023 - summer,1554
D-,D-,GRD,Business Administration - Business Administration,Junior,2023 - summer,1582
E,E,GRD,College of Arts and Sciences - Business Economics/Psychology (Minor),Senior,2023 - summer,1669
A-,A-,GRD,Intended - Business Economics (intended),Junior,2023 - summer,
D+,D+,GRD,College of Arts and Sciences - Communication/Business (Minor),Senior,2023 - summer,1982
A-,A-,GRD,Business Administration - Business Administration/Music,Senior,2023 - summer,2039
D,D,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,2037
C,C,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,
B,B,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1597
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,1876
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1811
B+,B+,GRD,Business Administration - Business Administration,Junior,2023 - spring,1743
C+,C+,GRD,Business Administration - Business Administration/History (Minor),Junior,2023 - spring,1382
E,W,WDN,Business Administration - Business Administration,Junior,2023 - spring,
A,A,GRD,Business Administration - Accounting/Business (Minor)/Mathematics (Minor),Senior,2023 - spring,1771
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,2012
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1332
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1098
D-,D-,GRD,College of Arts and Sciences - Human Biology/Business (Minor),Senior,2023 - spring,1327
B+,B+,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,1254
C+,C+,GRD,College of Arts and Sciences - Mathematics/Business (Minor),Senior,2023 - spring,1289
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1636
E,W,WDN,College of Arts and Sciences - Sociology/Africana Studies (Minor)/Business (Minor),Senior,2023 - spring,1728
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1160
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,1468
A,A,GRD,Criminal Justice - Criminal Justice/Business (Minor)/Sociology (Minor),Senior,2023 - spring,1908
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,
B-,B-,GRD,Business Administration - Business Administration,Senior,2023 - spring,1081
C,C,GRD,Business Administration - Business Administration,Senior,2023 - spring,1306
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1709
C+,C+,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2023 - spring,1184
A,A,GRD,College of Arts and Sciences - Human Biology/Business (Minor),Senior,2023 - spring,1673
A,A,GRD,Business Administration - Business Administration/Public Policy (Minor),Senior,2023 - spring,1064
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1624
A,A,GRD,College of Arts and Sciences - Economics/Business (Minor),Senior,2023 - spring,1968
A,A,GRD,Coll Engineering & Applied Sci - Computer Science/Business (Minor)/Mathematics (Minor),Senior,2023 - spring,2047
A,A,GRD,College of Arts and Sciences - Biology/Business (Minor),Senior,2023 - spring,1999
A,A,GRD,Business Administration - Business Administration/History (Minor),Junior,2023 - spring,2049
A,A,GRD,Business Administration - Business Administration/Mathematics (Minor),Senior,2023 - spring,1969
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1957
E,E,GRD,Business Administration - Business Administration/Leadership (Minor),Junior,2023 - spring,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,1299
A,A,GRD,Business Administration - Business Administration/Internat Studies (Minor),Junior,2023 - spring,
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,2046
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1107
A-,A-,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - spring,1640
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,1992
A,A,GRD,Business Administration - Business Administration/Film Studies (Minor),Junior,2023 - spring,1798
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1959
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1430
A,A,GRD,Business Administration - Business Administration/Biology (Minor)/Leadership (Minor),Junior,2023 - spring,1364
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1644
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1213
,W,WDN,Business Administration - Business Administration/Leadership (Minor),Junior,2023 - spring,1909
A,A,GRD,College of Arts and Sciences - Communication/Business (Minor),Junior,2023 - spring,1260
B+,B+,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1894
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1137
D-,D-,GRD,Business Administration - Accounting/Business Administration,Senior,2023 - spring,1275
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1240
A,A,GRD,"Emerg Prep, HomelandSec&Cybsec - Informatics",Junior,2023 - spring,1371
E,E,GRD,Business Administration - Business Administration,Junior,2023 - spring,1864
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - spring,1974
D+,D+,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - spring,1077
A-,A-,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2023 - spring,1230
A,A,GRD,Business Administration - Accounting/Mathematics/Business (Minor),Senior,2023 - spring,1325
B+,B+,GRD,Business Administration - Business Administration,Junior,2023 - spring,
A-,A-,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2023 - spring,1947
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1295
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1388
A,A,GRD,Business Administration - Business Administration/Interdis Financial Mkt Reg,Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration/Anthropology (Minor),Junior,2023 - spring,1078
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration/Legal Studies (Minor),Senior,2023 - spring,1890
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2023 - spring,1093
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1156
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1510
B-,B-,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,1612
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1739
B+,B+,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2023 - spring,1772
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2023 - spring,1793
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1848
A,A,GRD,College of Arts and Sciences - Psychology/Business (Minor),Junior,2023 - spring,1873
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - spring,1002
A,A,GRD,Business Administration - Business Administration/Leadership (Minor),Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2023 - spring,1530
E,E,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1691
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1298
D+,D+,GRD,Business Administration - Business Administration,Junior,2023 - spring,1579
A,A,GRD,Intended - Business Admin (intended),Junior,2023 - spring,1927
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1381
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - spring,1806
B+,B+,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - spring,
E,E,GRD,Business Administration - Business Administration/Economics,Junior,2023 - spring,1373
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - spring,1613
B+,B+,GRD,Business Administration - Business Administration/Psychology/Law & Philosophy (Minor),Senior,2023 - spring,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - spring,1741
A-,A-,GRD,Business Administration - Business Administration/Legal Studies (Minor),Junior,2023 - spring,1257
A,A,GRD,Business Administration - Accounting/Business Administration,Senior,2023 - spring,2042
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1194
A-,A-,GRD,Business Administration - Accounting/Business (Minor)/Communication (Minor),Senior,2023 - spring,1366
A,A,GRD,Coll Engineering & Applied Sci - Comp Science & Applied Math/Business (Minor)/Informatics (Minor)/,Junior,2023 - spring,1787
A,A,GRD,Business Administration - Business Administration/Music (Minor),Junior,2023 - spring,1869
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,2023 - spring,2031
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1151
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2023 - spring,1070
B-,B-,GRD,"Emerg Prep, HomelandSec&Cybsec - EmergPrep,HomelandSec&Cybsec/Business (Minor)",Junior,2023 - spring,1360
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1645
A,A,GRD,Business Administration - Business Administration/Communication (Minor)/Theatre (Minor),Junior,2023 - spring,2021
B+,B+,GRD,Business Administration - Business Administration,Junior,2023 - spring,2051
A,A,GRD,Business Administration - Business Administration/Leadership (Minor),Junior,2023 - spring,1988
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - spring,1436
A-,A-,GRD,Business Administration - Business Administration/Economics (Minor),Senior,2023 - spring,
A,A,GRD,Business Administration - Business Administration/Computer Science (Minor),Junior,2023 - spring,1724
A,A,GRD,Business Administration - Business Administration/Economics (Minor)/Leadership (Minor),Junior,2023 - spring,2057
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1649
A,A,GRD,Business Administration - Business Administration/Creative Writing (Minor),Junior,2023 - spring,1148
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,
A,A,GRD,Business Administration - Business Administration/Public Health,Junior,2023 - spring,1023
A-,A-,GRD,Business Administration - Business Administration/French (Minor),Junior,2023 - spring,1062
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1652
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci/Economics (Minor),Senior,2023 - spring,1658
B,B,GRD,Business Administration - Business Administration,Junior,2023 - spring,1203
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration/Legal Studies (Minor),Senior,2023 - spring,1842
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1885
D-,D-,GRD,Business Administration - Business Administration,Senior,2023 - spring,1129
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1446
E,E,GRD,College of Arts and Sciences - Psychology/Business (Minor),Senior,2023 - spring,1805
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,2043
A,A,GRD,Business Administration - Business Administration/Computer Science (Minor),Junior,2023 - spring,1113
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1675
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - spring,1124
A,A,GRD,College of Arts and Sciences - Communication/Business (Minor),Senior,2023 - spring,1202
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2023 - spring,1461
C-,C-,GRD,Business Administration - Business Administration,Junior,2023 - spring,1108
B,B,GRD,Business Administration - Business Administration,Junior,2023 - spring,1942
A,A,GRD,Business Administration - Accounting/Business (Minor)/Computer Science (Minor)/Economics (Minor),Junior,2023 - spring,1178
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Senior,2023 - spring,
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1238
A,A,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2023 - spring,1913
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - spring,1346
A,A,GRD,Business Administration - Accounting/Business Administration/Psychology (Minor),Senior,2023 - spring,1304
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2023 - spring,1499
,W,WDN,Business Administration - Business Administration,Junior,2023 - spring,1447
A,A,GRD,Business Administration - Accounting/Business (Minor)/Economics (Minor),Senior,2023 - spring,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,2071
B,B,GRD,Business Administration - Business Administration,Junior,2023 - spring,1132
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - spring,1159
C,C,GRD,College of Arts and Sciences - Business Economics/Communication (Minor),Junior,2023 - spring,
C,C,GRD,Business Administration - Business Administration/Spanish (Minor),Junior,2023 - spring,
B-,B-,GRD,Business Administration - Business Administration,Junior,2023 - spring,1109
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1778
D,D,GRD,Business Administration - Business Administration/Computer Science (Minor),Senior,2023 - spring,1169
B+,B+,GRD,Business Administration - Business Administration,Junior,2023 - spring,1179
C,C,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - spring,1003
,W,WDN,Business Administration - Business Administration,Senior,2023 - spring,1110
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1399
A,A,GRD,College of Arts and Sciences - Economics/Informatics (Minor)/Japanese Studies (Minor),Senior,2023 - spring,1825
D,D,GRD,Business Administration - Business Administration,Senior,2023 - spring,1915
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1342
A,A,GRD,"Emerg Prep, HomelandSec&Cybsec - EmergPrep,HomelandSec&Cybsec/Business (Minor)",Senior,2023 - spring,1729
A-,A-,GRD,Business Administration - Business Administration,Senior,2023 - spring,1565
D,D,GRD,Intended - Accounting (intended),Junior,2023 - spring,1237
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,1931
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1326
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1274
A,A,GRD,Business Administration - Business Administration/Public Policy (Minor)/Political Science (Minor),Senior,2023 - spring,1131
A,A,GRD,Business Administration - Business Administration/Geographic Info Science(Minor),Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2023 - spring,
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - spring,1276
A,A,GRD,Business Administration - Business Administration/Journalism (Minor),Junior,2023 - spring,1665
B+,B+,GRD,Business Administration - Business Administration,Junior,2023 - spring,1893
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,1170
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1406
A,A,GRD,Business Administration - Accounting/Business (Minor)/Music (Minor),Senior,2023 - spring,1425
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,1204
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1273
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1292
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,1701
C-,C-,GRD,Business Administration - Business Administration,Junior,2023 - spring,2029
A-,A-,GRD,Intended - Business Admin (intended),Junior,2023 - spring,1434
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1441
A,A,GRD,Business Administration - Digital Forensics/Business (Minor)/Chinese Studies (Minor),Junior,2023 - spring,1556
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2023 - spring,1440
A-,A-,GRD,Intended - Accounting (intended),Junior,2023 - spring,1607
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - spring,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - spring,1707
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1153
A,A,GRD,Business Administration - Business Administration/Sustainability (Minor),Junior,2023 - spring,2013
B,B,GRD,"Business Administration - Business Administration/EmergPrep,HomelandSec&Cybsec/Psychology (Minor)",Senior,2023 - spring,1130
A,A,GRD,Business Administration - Business Administration/Political Science (Minor),Senior,2023 - spring,1142
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1300
B,B,GRD,Business Administration - Business Administration,Junior,2023 - spring,1024
A,A,GRD,Business Administration - Accounting/Business (Minor)/Computer Science (Minor),Junior,2023 - spring,1186
A,A,GRD,Intended - Business Admin (intended),Sophomore,2023 - spring,1469
D-,D-,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,1708
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1632
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1980
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1012
A,A,GRD,Business Administration - Accounting/Biology (Minor)/Business (Minor),Senior,2023 - spring,1010
C,C,GRD,College of Arts and Sciences - Business Economics/Actuarial & Mathematical Sci,Junior,2023 - spring,1495
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1601
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,1660
E,E,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - spring,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,
E,E,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1061
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1348
A,A,GRD,College of Arts and Sciences - Psychology/Business (Minor),Senior,2023 - spring,1409
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - spring,
D+,D+,GRD,Business Administration - Business Administration,Senior,2023 - spring,1524
B,B,GRD,Business Administration - Business Administration,Junior,2023 - spring,1925
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - spring,2085
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1596
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1414
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2023 - spring,
D+,D+,GRD,Intended - Business Economics (intended),Sophomore,2023 - spring,1429
A,A,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1814
B+,B+,GRD,Intended - Business Admin (intended),Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1287
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1472
B+,B+,GRD,College of Arts and Sciences - Economics/Business (Minor),Junior,2023 - spring,
C,C,GRD,Intended - Business Admin (intended),Junior,2023 - spring,1996
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1271
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1283
B-,B-,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2023 - Fall - session 2,
B-,B-,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
B-,B-,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Accounting/Business (Minor)/Spanish (Minor),Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Accounting/Business Administration,Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - Fall - session 2,
,W,WDN,Intended - Business Economics (intended),Junior,2023 - Fall - session 2,
C,C,GRD,College of Arts and Sciences - Communication/Business (Minor),Senior,2023 - Fall - session 2,
D,D,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - Fall - session 2,
C,C,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
B,B,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2023 - Fall - session 2,
A,A,GRD,College of Arts and Sciences - Mathematics/Business (Minor),Senior,2023 - Fall - session 2,
C,C,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
C,C,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - Fall - session 2,
A-,A-,GRD,College of Arts and Sciences - Business Economics/Informatics (Minor),Junior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - Fall - session 2,
B-,B-,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2023 - Fall - session 2,
C-,C-,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Communication (Minor)/Sustainability (Minor),Senior,2023 - Fall - session 2,
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration/Leadership (Minor),Senior,2023 - Fall - session 2,
,W,WDN,Business Administration - Accounting/Business Administration,Senior,2023 - Fall - session 2,1971
B+,B+,GRD,Business Administration - Business Administration/Communication (Minor)/Informatics (Minor),Junior,2023 - Fall - session 2,
,W,WDN,Public Affairs - Political Science/Business (Minor),Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Theatre (Minor),Junior,2023 - Fall - session 2,
A,A,GRD,College of Arts and Sciences - Business Economics/Public Health,Senior,2023 - Fall - session 2,
C,C,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - Fall - session 2,
C+,C+,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
D-,D-,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - Fall - session 2,
E,E,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - Fall - session 2,
B+,B+,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
D+,D+,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - Fall - session 2,
A,A,GRD,College of Arts and Sciences - Economics/Business (Minor),Senior,2023 - Fall - session 2,
B,B,GRD,Business Administration - Business Administration/Interdis Financial Mkt Reg,Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - Fall - session 2,
D,D,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - Fall - session 2,
E,E,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
B-,B-,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
C,C,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
B,B,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - Fall - session 2,
E,E,GRD,College of Arts and Sciences - Business Economics/Communication (Minor),Junior,2023 - Fall - session 2,
E,E,GRD,Business Administration - Business Administration/Interdis Financial Mkt Reg,Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
B+,B+,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
C,C,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - Fall - session 2,
C+,C+,GRD,Intended - Business Admin (intended),Junior,2023 - Fall - session 2,
B-,B-,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - Fall - session 2,
,W,WDN,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
C,C,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - Fall - session 2,
B,B,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci/Economics (Minor),Junior,2023 - Fall - session 2,
D+,D+,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
C+,C+,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - Fall - session 2,
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,2023 - Fall - session 2,
C-,C-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
